ue_id,connected_seconds,baseline_gbit,solution_gbit,lost_gbit,baseline_mbps,solution_mbps,loss_percent,simulated_handovers,data_kind,source_lost_gbit,source_solution_gbit,source_solution_mbps,source_loss_percent
sim-000000,2443.1876606683804,47.549130589758086,42.632685731716066,4.916444858042022,19.4619231896211,17.449615687749947,10.339715568008739,10,modeled_loss_distribution_with_target_aggregate,0.005916567415748,47.54321402234234,19.4595015306094,0.0124430611924216
sim-000001,18953.213367609253,213.27144610487483,210.91089006992553,2.3605560349492967,11.252521773925285,11.127975292589117,1.1068317292641738,9,modeled_loss_distribution_with_target_aggregate,0.0028407496316333,213.2686053552432,11.25237189170866,0.0013319877946701
sim-000002,16213.88174807198,349.1764668673373,342.3785247167181,6.797942150619177,21.535649037828865,21.116382248034522,1.9468500301888672,10,modeled_loss_distribution_with_target_aggregate,0.0081808062906885,349.1682860610466,21.535144482139003,0.0023428859235799
sim-000003,6811.311053984576,119.78042437016558,116.22267088138581,3.557753488779768,17.585516711954412,17.063186508476406,2.9702294907429954,7,modeled_loss_distribution_with_target_aggregate,0.004281485702122,119.77614288446344,17.584888127285733,0.0035744452606802
sim-000004,8588.174807197944,24.109969803765964,23.448621553037952,0.66134825072801,2.807345023247413,2.730338177721433,2.7430488553523933,7,modeled_loss_distribution_with_target_aggregate,0.000795882314091,24.109173921451877,2.807252351366373,0.0033010506465534
sim-000005,8588.174807197944,209.57506229441597,204.53025879048604,5.044803503929914,24.40274761510052,23.815334850783966,2.407158298654281,7,modeled_loss_distribution_with_target_aggregate,0.0060710372824338,209.56899125713352,24.4020407085204,0.0028968319111866
sim-000006,68261.18251928019,1307.0598462053745,1298.4862637861281,8.573582419246339,19.14792269876366,19.022323022595952,0.6559441363099756,17,modeled_loss_distribution_with_target_aggregate,0.0103176542893526,1307.0495285510851,19.147771549107173,0.0007893788734545
sim-000007,74628.27763496143,1474.5484565394495,1462.8788400565531,11.669616482896302,19.75857547928537,19.602205576981348,0.7914027125485718,20,modeled_loss_distribution_with_target_aggregate,0.0140434957841624,1474.5344130436654,19.758387300002276,0.000952392966259
sim-000008,53009.76863753212,192.8910979911553,191.38196033272402,1.509137658431283,3.638784000550873,3.610314952350523,0.7823780745446749,14,modeled_loss_distribution_with_target_aggregate,0.0018161323788972,192.8892818587764,3.6387497402168703,0.0009415325008832
sim-000009,4738.303341902313,54.6537489405223,53.48920808319549,1.164540857326808,11.534455478441393,11.288683780578912,2.1307611644246687,3,modeled_loss_distribution_with_target_aggregate,0.0014014363406307,54.65234750418167,11.534159710897717,0.0025642089843752
sim-000010,74332.13367609253,712.440170288183,706.2161530175877,6.224017270595406,9.584551593698237,9.500819068304615,0.8736196427663229,24,modeled_loss_distribution_with_target_aggregate,0.0074901313533542,712.4326801568296,9.584450827973065,0.0010513347879197
sim-000011,75442.6735218509,1750.7032346480034,1737.2905759555063,13.412658692497136,23.205742226790747,23.027956126877246,0.7661297715711303,21,modeled_loss_distribution_with_target_aggregate,0.0161411144983698,1750.687093533505,23.205528274742854,0.0009219789041867
sim-000012,68261.18251928019,1110.9299560104391,1105.2652266149453,5.664729395493803,16.274695441976263,16.191709340850725,0.5099087809133283,14,modeled_loss_distribution_with_target_aggregate,0.0068170709380754,1110.923138939501,16.27459557451592,0.0006136364314593
sim-000013,8588.174807197944,177.4115911094399,173.93552923859102,3.4760618708489015,20.657659525135333,20.252909744316305,1.9593206109653922,5,modeled_loss_distribution_with_target_aggregate,0.0041831760538405,177.40740793338608,20.65717243956153,0.0023578933189658
sim-000014,4738.303341902313,53.84441068463793,51.89316118301096,1.9512495016269693,11.363647871269617,10.951844455398907,3.623866389875208,6,modeled_loss_distribution_with_target_aggregate,0.0023481803528085,53.84206250428512,11.36315229718257,0.0043610475496921
sim-000015,11919.79434447301,72.32154852623529,70.42642885262711,1.8951196736081852,6.067348683727037,5.908359390888531,2.620408041900145,12,modeled_loss_distribution_with_target_aggregate,0.0022806323743207,72.31926789386097,6.067157352206674,0.0031534617562751
sim-000016,2443.1876606683804,34.417984186905684,33.46433317947946,0.9536510074262244,14.087327281887951,13.696996640169939,2.770792740932924,3,modeled_loss_distribution_with_target_aggregate,0.0011476464476773,34.41683654045801,14.086857548651269,0.0033344383025021
