left_percent,right_percent,user_count,users_percent
0.0,0.5700270860588901,7878,54.36477813815472
0.5700270860588901,1.1400541721177802,3517,24.270236698640534
1.1400541721177802,1.7100812581766702,1533,10.578980056586847
1.7100812581766702,2.2801083442355603,797,5.499965495824995
2.2801083442355603,2.8501354302944506,303,2.090953005313643
2.8501354302944506,3.4201625163533405,104,0.717686840107653
3.4201625163533405,3.9901896024122303,112,0.772893520115934
3.9901896024122303,4.560216688471121,80,0.5520668000828101
4.560216688471121,5.130243774530011,27,0.18632254502794837
5.130243774530011,5.700270860588901,17,0.11731419501759713
5.700270860588901,6.270297946647791,4,0.0276033400041405
6.270297946647791,6.840325032706681,53,0.36574425505486163
6.840325032706681,7.410352118765571,17,0.11731419501759713
7.410352118765571,7.980379204824461,4,0.0276033400041405
7.980379204824461,8.550406290883352,9,0.062107515009316126
8.550406290883352,9.120433376942241,3,0.020702505003105377
9.120433376942241,9.69046046300113,4,0.0276033400041405
9.69046046300113,10.260487549060022,4,0.0276033400041405
10.260487549060022,10.830514635118911,2,0.01380167000207025
10.830514635118911,11.400541721177802,6,0.04140501000621075
11.400541721177802,11.970568807236692,7,0.04830584500724588
11.970568807236692,12.540595893295581,0,0.0
12.540595893295581,13.110622979354472,3,0.020702505003105377
13.110622979354472,13.680650065413362,1,0.006900835001035125
13.680650065413362,14.250677151472251,2,0.01380167000207025
14.250677151472251,14.820704237531142,3,0.020702505003105377
14.820704237531142,15.390731323590032,0,0.0
15.390731323590032,15.960758409648921,0,0.0
15.960758409648921,16.53078549570781,0,0.0
16.53078549570781,17.100812581766704,1,0.006900835001035125
