ue_id,connected_seconds,baseline_gbit,solution_gbit,lost_gbit,baseline_mbps,solution_mbps,loss_percent,simulated_handovers,data_kind
sim-000000,2443.1876606683804,47.549130589758086,47.54321402234234,0.005916567415748063,19.4619231896211,19.459501530609398,0.012443061192421613,10,modeled_handover_only_user_session
sim-000001,18953.213367609253,213.27144610487485,213.2686053552432,0.00284074963163337,11.252521773925283,11.25237189170866,0.0013319877946701077,9,modeled_handover_only_user_session
sim-000002,16213.881748071979,349.1764668673373,349.1682860610466,0.0081808062906885,21.535649037828865,21.535144482139003,0.002342885923579906,10,modeled_handover_only_user_session
sim-000003,6811.311053984576,119.78042437016558,119.77614288446345,0.004281485702122035,17.585516711954412,17.584888127285733,0.003574445260680217,7,modeled_handover_only_user_session
sim-000004,8588.174807197944,24.109969803765964,24.109173921451873,0.000795882314091051,2.8073450232474135,2.807252351366373,0.003301050646553421,7,modeled_handover_only_user_session
sim-000005,8588.174807197944,209.57506229441594,209.56899125713352,0.006071037282433893,24.402747615100516,24.402040708520396,0.002896831911186627,7,modeled_handover_only_user_session
sim-000006,68261.18251928019,1307.0598462053745,1307.0495285510851,0.010317654289352675,19.14792269876366,19.147771549107173,0.0007893788734545435,17,modeled_handover_only_user_session
sim-000007,74628.27763496143,1474.5484565394495,1474.5344130436654,0.014043495784162417,19.75857547928537,19.758387300002273,0.0009523929662590035,20,modeled_handover_only_user_session
sim-000008,53009.76863753212,192.8910979911553,192.8892818587764,0.0018161323788972832,3.6387840005508725,3.6387497402168703,0.0009415325008832492,14,modeled_handover_only_user_session
sim-000009,4738.303341902313,54.6537489405223,54.65234750418167,0.0014014363406307645,11.534455478441393,11.534159710897717,0.0025642089843752477,3,modeled_handover_only_user_session
sim-000010,74332.13367609253,712.440170288183,712.4326801568296,0.007490131353354217,9.584551593698237,9.584450827973065,0.0010513347879197278,24,modeled_handover_only_user_session
sim-000011,75442.6735218509,1750.7032346480034,1750.687093533505,0.016141114498369833,23.205742226790747,23.205528274742854,0.0009219789041867606,21,modeled_handover_only_user_session
sim-000012,68261.18251928019,1110.9299560104391,1110.923138939501,0.006817070938075414,16.274695441976263,16.27459557451592,0.0006136364314593525,14,modeled_handover_only_user_session
sim-000013,8588.174807197944,177.4115911094399,177.40740793338608,0.0041831760538405035,20.657659525135333,20.657172439561535,0.0023578933189658544,5,modeled_handover_only_user_session
sim-000014,4738.303341902313,53.84441068463793,53.84206250428512,0.0023481803528085797,11.363647871269617,11.36315229718257,0.004361047549692148,6,modeled_handover_only_user_session
sim-000015,11919.79434447301,72.32154852623529,72.31926789386097,0.0022806323743207882,6.067348683727037,6.067157352206674,0.003153461756275128,12,modeled_handover_only_user_session
sim-000016,2443.1876606683804,34.417984186905684,34.41683654045801,0.0011476464476773236,14.087327281887953,14.086857548651269,0.003334438302502171,3,modeled_handover_only_user_session
sim-000017,5552.699228791774,11.458121318850793,11.457512790936674,0.0006085279141196242,2.0635227745522955,2.0634131831825773,0.005310887336464834,10,modeled_handover_only_user_session
sim-000018,18953.213367609253,393.7902263990727,393.78190355545996,0.008322843612759739,20.77696371381826,20.776524588090542,0.0021135221381358635,10,modeled_handover_only_user_session
sim-000019,80847.30077120822,1291.5985111116129,1291.587486268833,0.011024842779974172,15.975777778490585,15.975641412246134,0.0008535812549431985,18,modeled_handover_only_user_session
sim-000020,9624.678663239074,183.57293630475877,183.5673324739338,0.005603830824990567,19.073149632091656,19.07256739646374,0.003052645415927412,10,modeled_handover_only_user_session
sim-000021,28207.71208226221,259.11283369109964,259.1097286956717,0.003104995427939558,9.185886219181773,9.185776143064333,0.0011983178848027135,9,modeled_handover_only_user_session
sim-000022,11919.79434447301,289.43765729588705,289.42961275963006,0.00804453625700878,24.28210159767513,24.28142670882852,0.002779367526729596,9,modeled_handover_only_user_session
sim-000023,4738.303341902313,106.05018212112168,106.04290450121965,0.007277619902028257,22.381467472393844,22.379931559773464,0.006862430366895896,9,modeled_handover_only_user_session
sim-000024,11919.79434447301,233.27509172538478,233.26951469199608,0.005577033388706666,19.570395678307165,19.569927798306257,0.002390753915240998,9,modeled_handover_only_user_session
sim-000025,74332.13367609253,391.6298728776087,391.62727947263846,0.002593404970228578,5.268648342373209,5.26861345295403,0.0006622081587323303,15,modeled_handover_only_user_session
sim-000026,4738.303341902313,56.550061117498444,56.54774125330776,0.002319864190682258,11.934664591312336,11.934174993238239,0.0041023195109587875,7,modeled_handover_only_user_session
sim-000027,18953.213367609253,29.817048605922785,29.81653181176969,0.0005167941530975384,1.5731922617871046,1.5731649949514988,0.0017332169924922877,11,modeled_handover_only_user_session
sim-000028,6811.311053984576,29.15304173640946,29.15160865068547,0.0014330857239900597,4.280092555654922,4.279882157728204,0.004915733105819513,11,modeled_handover_only_user_session
sim-000029,5552.699228791774,95.69910181385785,95.69551525279759,0.0035865610602545915,17.234699354440142,17.234053441360306,0.0037477478808847445,6,modeled_handover_only_user_session
sim-000030,5552.699228791774,104.09463570859046,104.08932102684606,0.005314681744397055,18.746672819741523,18.745715684927372,0.00510562500000032,7,modeled_handover_only_user_session
sim-000031,53009.76863753212,1283.0478275557684,1283.0346844208113,0.013143134956988156,24.203988444638135,24.203740506658118,0.0010243682795540124,16,modeled_handover_only_user_session
sim-000032,5552.699228791774,47.10199987833162,47.10095567735981,0.001044200971802042,8.482721274384723,8.482533221524523,0.0022168930714179863,6,modeled_handover_only_user_session
sim-000033,80847.30077120822,774.214998682257,774.2083413301988,0.006657352058243968,9.576262797854282,9.57618045308835,0.0008598841496967937,23,modeled_handover_only_user_session
sim-000034,10809.254498714652,129.7555597524079,129.75306168156493,0.002498070842954625,12.004117376257295,12.003886271434732,0.00192521295250955,8,modeled_handover_only_user_session
sim-000035,5552.699228791774,28.552247616299223,28.55162285743107,0.0006247588681541345,5.142048297564999,5.141935783120688,0.002188124999999955,3,modeled_handover_only_user_session
sim-000036,13178.406169665808,48.5370830882215,48.536038935925816,0.001044152295684389,3.6830768807190557,3.682997648656981,0.002151246488765151,7,modeled_handover_only_user_session
sim-000037,21988.688946015423,267.2674719683048,267.26186830520527,0.005603663099542497,12.154770692535372,12.154515849551633,0.00209664986849093,15,modeled_handover_only_user_session
sim-000038,4738.303341902313,28.71070218040988,28.709226948430622,0.0014752319792569683,6.0592790517466595,6.058967709928122,0.005138265062230211,7,modeled_handover_only_user_session
sim-000039,6811.311053984576,115.18228644630872,115.17952729165197,0.002759154656757513,16.910442869721503,16.91003778549691,0.0023954678639268637,5,modeled_handover_only_user_session
sim-000040,4738.303341902313,53.11743242468962,53.114207920221396,0.003224504468219759,11.210222012372105,11.209541493579712,0.006070520205944613,8,modeled_handover_only_user_session
sim-000041,8588.174807197944,179.49814209782926,179.4945683453492,0.003573752480070912,20.90061580341702,20.900199678622137,0.0019909690642497912,8,modeled_handover_only_user_session
sim-000042,2443.1876606683804,43.13813071234439,43.1336711713658,0.0044595409785943676,17.656494999055102,17.654669702926448,0.010337816926587936,9,modeled_handover_only_user_session
sim-000043,6811.311053984576,55.53250128185982,55.53049256892623,0.0020087129335955045,8.152982713860006,8.152687805446975,0.00361718432850722,7,modeled_handover_only_user_session
sim-000044,6811.311053984576,142.2907749602307,142.28468372254366,0.006091237687031276,20.89036513418242,20.8894708514755,0.004280838085767497,9,modeled_handover_only_user_session
sim-000045,2443.1876606683804,49.393257355890825,49.386730548875015,0.006526807015808942,20.216726758671644,20.21405532776976,0.013213963535106944,9,modeled_handover_only_user_session
sim-000046,13178.406169665808,131.69471587500516,131.69259306868156,0.0021228063235974514,9.993220286239273,9.993059204064673,0.0016119145779639797,7,modeled_handover_only_user_session
sim-000047,8588.174807197944,64.96128528393035,64.95965169525189,0.0016335886784559605,7.5640385462909805,7.563848332570937,0.0025147111411295705,7,modeled_handover_only_user_session
sim-000048,2443.1876606683804,42.07447637778023,42.06869830555484,0.0057780722253873516,17.2211398473869,17.21877487464313,0.013732962885876304,11,modeled_handover_only_user_session
sim-000049,74332.13367609253,291.6745240217686,291.6724392530442,0.002084768724405628,3.9239358484280933,3.923907801759428,0.0007147585931262324,15,modeled_handover_only_user_session
sim-000050,4738.303341902313,25.57618141555766,25.57393605326774,0.0022453622899200687,5.3977509606401535,5.397277085894722,0.008779114651392972,12,modeled_handover_only_user_session
sim-000051,11919.79434447301,8.10993733507925,8.109743657475542,0.0001936776037073327,0.680375608899635,0.6803593604981852,0.0023881516675793163,9,modeled_handover_only_user_session
sim-000052,6811.311053984576,134.72532994968333,134.72050806518845,0.004821884494860439,19.77964724880239,19.778939325693806,0.0035790481987769468,8,modeled_handover_only_user_session
sim-000053,5552.699228791774,93.22341216156896,93.21984579683314,0.003566364735813836,16.788845986504782,16.788203710633375,0.0038256105983686126,7,modeled_handover_only_user_session
sim-000054,2443.1876606683804,43.4314519491992,43.42711771836153,0.004334230837671198,17.77655177634521,17.774777769826006,0.009979474880878612,7,modeled_handover_only_user_session
sim-000055,79144.47300771206,1553.436735694211,1553.4276576547354,0.009078039475461876,19.627861260038205,19.62774655791018,0.0005843842408815585,14,modeled_handover_only_user_session
sim-000056,74628.27763496143,876.3924395619829,876.3834780973373,0.008961464645589135,11.743436500689326,11.74331641933505,0.0010225401590716638,21,modeled_handover_only_user_session
sim-000057,53009.76863753212,765.1514450151233,765.1461607068672,0.0052843082559678855,14.434159300845893,14.434059615289971,0.0006906225284412082,11,modeled_handover_only_user_session
sim-000058,4738.303341902313,18.597965964647827,18.597012183219473,0.000953781428353045,3.9250264541276074,3.9248251623656554,0.005128417968750197,6,modeled_handover_only_user_session
sim-000059,53009.76863753212,175.24959547321268,175.24877148784597,0.0008239853667047544,3.3059868016313505,3.3059712576026197,0.00047017818470839357,8,modeled_handover_only_user_session
sim-000060,8588.174807197944,144.93294360248174,144.92941835560404,0.003525246877712357,16.875872563866558,16.875462087024058,0.0024323295933195914,7,modeled_handover_only_user_session
sim-000061,5552.699228791774,66.8648103575696,66.8628501828074,0.0019601747621897573,12.041857050506747,12.04150403755189,0.002931549123832744,5,modeled_handover_only_user_session
sim-000062,2443.1876606683804,35.05555190795163,35.0519849076437,0.0035670003079343554,14.348284608789125,14.346824630759048,0.010175279274736663,8,modeled_handover_only_user_session
sim-000063,13178.406169665808,253.5851118126197,253.5796258337948,0.0054859788248676775,19.242472006692626,19.242055721236383,0.0021633678671646164,10,modeled_handover_only_user_session
sim-000064,74332.13367609253,1193.0752585572905,1193.0635215078446,0.011737049445889538,16.05059884001446,16.05044093993995,0.0009837643821465547,22,modeled_handover_only_user_session
sim-000065,13178.406169665808,185.32391071609808,185.3184436316379,0.005467084460188945,14.062695316120896,14.062280464401363,0.0029500156990341607,11,modeled_handover_only_user_session
sim-000066,81365.55269922878,1155.437669181332,1155.4312840393948,0.006385141937312473,14.200575438262632,14.200496963506112,0.0005526167362915015,12,modeled_handover_only_user_session
sim-000067,78626.22107969149,624.825076922734,624.8195963262384,0.005480596495545485,7.946777402533989,7.946707698096713,0.0008771409307925739,18,modeled_handover_only_user_session
sim-000068,28207.71208226221,35.40172085116605,35.40124869230985,0.00047215885619761246,1.2550369469145153,1.2550202082703168,0.0013337172455052018,11,modeled_handover_only_user_session
sim-000069,11919.79434447301,133.49664309670726,133.49392159973047,0.0027214969767949725,11.199576036192873,11.199347718748953,0.0020386257763975934,6,modeled_handover_only_user_session
sim-000070,2443.1876606683804,14.066224137964454,14.06459150631667,0.001632631647783424,5.757324484078465,5.756656245746196,0.011606751262956093,11,modeled_handover_only_user_session
sim-000071,4738.303341902313,49.79460129762109,49.792468331566475,0.002132966054614843,10.508951771253583,10.508501617284809,0.00428352873410143,6,modeled_handover_only_user_session
sim-000072,74332.13367609253,1591.3302142211066,1591.3212790118607,0.008935209245957669,21.408375295070087,21.408255088521397,0.000561493093394893,13,modeled_handover_only_user_session
sim-000073,8588.174807197944,53.51736077707918,53.516098894804934,0.001261882274249868,6.231517403700851,6.231370471168319,0.00235789331896635,5,modeled_handover_only_user_session
sim-000074,11919.79434447301,22.986336093225198,22.98594468897716,0.00039140424803829084,1.928417171382117,1.9283843348887408,0.001702769186228205,6,modeled_handover_only_user_session
