Time(h),Connected UEs

0.10796915167095,782.9181494661922
0.251928020565552,939.5017793594308
0.45758354755784,1266.9039145907473
0.724935732647811,939.5017793594308
0.97172236503856,953.7366548042704
1.13624678663239,1024.91103202847
1.383033419023135,1096.085409252669
1.773778920308482,1252.6690391459074
1.97943444730077,1423.487544483986
2.226221079691516,1622.7758007117438
2.452442159383033,1864.7686832740212
2.699228791773777,2106.761565836299
3.00771208226221,2462.633451957296
3.233933161953725,2562.2775800711743
3.480719794344473,2875.4448398576515
3.727506426735218,3345.195729537367
3.99485861182519,3587.188612099644
4.077120822622103,4170.818505338079
4.17994858611825,4797.153024911032
4.262210796915166,5352.3131672597865
4.46786632390745,6291.814946619217
4.7146529562982,7231.316725978648
4.961439588688943,5893.238434163702
5.49614395886889,6533.807829181495
5.722365038560408,5950.17793594306
5.989717223650384,6021.35231316726
6.23650385604113,7359.430604982206
6.503856041131105,9096.08540925267
6.647814910025705,7373.6654804270465
6.73007712082262,6391.459074733096
6.956298200514137,5195.729537366548
7.24421593830334,4811.387900355872
7.470437017994858,6462.633451957296
7.73778920308483,7416.370106761566
7.84061696658097,6149.466192170818
7.902313624678666,4740.213523131672
7.984575835475574,3459.0747330960853
8.25192802056555,2234.8754448398577
8.45758354755784,1779.3594306049822
8.60154241645244,1523.1316725978647
8.76606683804627,1295.373665480427
8.95115681233933,1053.3807829181494
9.177377892030847,825.6227758007118
9.362467866323907,697.508896797153
9.547557840616964,669.0391459074733
9.77377892030848,640.5693950177936
